CD_LOJA;CD_MERCADORIA;ST_LIBERA_SEM_ESTOQUE;DS_CURVA_ABC;NR_QTDE_PONTO_RESSUPRIMENTO;NR_QTDE_ESTOQUE_SEGURANCA;NR_QTDE_ESTOQUE;NR_QTDE_RESERVA;DT_UltimaAlteracao;UsuarioUltimaAlteracao;ST_MERCADORIA_COMPRADA
1;1338;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-03-03 10:26:17.247;GRACILENE;
1;1339;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-12-06 10:09:05.710;GRACILENE;
1;1340;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-29 17:49:52.623;GRACILENE;
1;1341;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-12-14 11:28:52.187;GRACILENE;
1;1342;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-16 09:24:05.827;GRACILENE;
1;1343;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-16 09:24:07.437;GRACILENE;
1;1344;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-20 09:52:12.480;GRACILENE;
1;1345;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-26 10:09:54.437;GRACILENE;
1;1346;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-30 10:29:57.810;GRACILENE;
1;1347;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-28 17:43:36.890;GRACILENE;
1;1348;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-04-03 08:36:44.530;GRACILENE;
1;1349;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-10-05 11:27:40.357;GRACILENE;
1;1350;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-10-26 11:48:30.420;GRACILENE;
1;1351;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-07-03 17:41:41.903;GRACILENE;
1;1352;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-08-20 09:59:43.700;GRACILENE;
1;1353;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-07-15 14:53:38.810;GRACILENE;
1;1354;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-11-28 11:12:16.873;GRACILENE;
1;1355;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-08-06 18:06:33.373;GRACILENE;
1;1356;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-09-02 16:12:48.677;GRACILENE;
1;1357;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-11-05 10:24:47.450;GRACILENE;
1;1358;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-04-03 12:19:06.640;GRACILENE;
1;1359;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-01-29 15:31:29.653;GRACILENE;
1;1360;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-02-26 16:52:07.267;GRACILENE;
1;1361;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-08-17 16:46:20.110;GRACILENE;
1;1362;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-11-17 11:08:17.640;GRACILENE;
1;1363;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-06-18 17:52:25.310;GRACILENE;
1;1364;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2007-11-20 16:55:49.763;GRACILENE;
1;1365;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-09-27 08:35:52.480;GRACILENE;
1;1366;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2009-06-04 17:50:56.280;GRACILENE;
1;1367;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-03-18 13:13:16.420;GRACILENE;
1;1368;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-04-09 10:08:32.263;GRACILENE;
1;1369;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-08-22 10:52:54.030;GRACILENE;
1;1370;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2014-04-24 09:53:38.497;ORANGE;
1;1371;S;;.0000000000;.0000000000;2.0000000000;.0000000000;2008-04-03 11:53:48.623;GRACILENE;
